QUARTERBACK PPR PROJECTIONS,,,,,,RUNNING BACK PPR PROJECTIONS,,,,,,WIDE RECEIVER PPR PROJECTIONS (SEASON LONG),,,,,,TIGHT END PPR PROJECTIONS (SEASON LONG),,,,,
Rank,Quarterback,Projection,FPPG,TOT YPG,TD/G,Rank,Running Back,Projection,FPPG,TOT YPG,TD/G,Rank,Wide Receiver,Projection,FPPG,TOT YPG,TD/G,Rank,Tight End,Projection,FPPG,YPG,TOT YPG
,,,,,,88,DYLAN LAUBE,9.4,0.6,4.1,0.0,88,NICK WESTBROOK-IKHINE,75,4.4,20.3,0.1,,,,,,
,,,,,,89,LAN LARISON,9.3,0.6,3.6,0.0,89,ELIC AYOMANOR,73,4.3,20.5,0.1,,,,,,
,,,,,,90,RONNIE RIVERS,9.0,0.6,3.2,0.0,90,KAYSHON BOUTTE,73,4.3,19.6,0.1,,,,,,
,,,,,,91,LEW NICHOLS,6.2,0.4,2.5,0.0,91,JACK BECH,73,4.3,19.8,0.1,,,,,,
,,,,,,92,DEMAND CLAIBORNE,5.3,0.3,2.2,0.0,92,GREG DORTCH,68,4.0,16.8,0.1,,,,,,
,,,,,,93,RASHEEN ALI,5.3,0.3,2.0,0.0,93,DEEBO SAMUEL,67,3.9,28.2,0.2,,,,,,
,,,,,,94,TYLER GOODSON,0.0,0.0,0.0,0.0,94,CALEB DOUGLAS,66,3.9,18.1,0.1,,,,,,
,,,,,,95,RAY DAVIS,0.0,0.0,0.0,0.0,95,COLBIE YOUNG,60,3.5,17.6,0.1,,,,,,
,,,,,,96,ROSCHON JOHNSON,0.0,0.0,0.0,0.0,96,ISAAC TESLAA,60,3.5,16.8,0.1,,,,,,
,,,,,,,,,,,,97,GERMIE BERNARD,59,3.5,17.4,0.1,,,,,,
,,,,,,,,,,,,98,TROY FRANKLIN,59,3.5,15.8,0.1,,,,,,
,,,,,,,,,,,,99,ISAIAH WILLIAMS,58,3.4,16.6,0.1,,,,,,
,,,,,,,,,,,,100,CHIMERE DIKE,56,3.3,14.4,0.1,,,,,,
,,,,,,,,,,,,101,KENDRICK BOURNE,56,3.3,17.0,0.1,,,,,,
,,,,,,,,,,,,102,ASHTON DULIN,54,3.2,16.9,0.1,,,,,,
,,,,,,,,,,,,103,HOLLYWOOD BROWN,51,3.0,14.4,0.1,,,,,,
,,,,,,,,,,,,104,DARNELL MOONEY,51,3.0,14.9,0.1,,,,,,
,,,,,,,,,,,,105,MACK HOLLINS,51,3.0,15.2,0.1,,,,,,
,,,,,,,,,,,,106,TED HURST III,50,2.9,13.2,0.1,,,,,,
,,,,,,,,,,,,107,DONT'E THORNTON JR,49,2.9,13.8,0.1,,,,,,
,,,,,,,,,,,,108,TYQUAN THORNTON,47,2.8,12.1,0.1,,,,,,
,,,,,,,,,,,,109,CALVIN AUSTIN III,47,2.8,13.8,0.0,,,,,,
,,,,,,,,,,,,110,TREYLON BURKS,46,2.7,12.9,0.1,,,,,,
